timestamp,ax,ay,az,gx,gy,gz
2025-06-19T09:37:01.293772,2584,18072,-3668,1013,183,-258
2025-06-19T09:37:01.624334,-716,16416,-7432,3907,-1157,3078
2025-06-19T09:37:01.939000,-536,14716,-9516,2262,-3489,3504
2025-06-19T09:37:02.234373,2548,13128,-16384,14375,-9289,3041
2025-06-19T09:37:02.544020,4912,10424,-14900,-346,-7662,-2676
2025-06-19T09:37:02.851171,-1372,6108,-14540,2225,-5364,-2557
2025-06-19T09:37:03.109361,-5408,4840,-15888,-984,-486,-3352
2025-06-19T09:37:03.359282,-6844,6460,-16292,843,-2085,2003
2025-06-19T09:37:03.678271,-5440,5368,-16368,9474,-2126,5573
2025-06-19T09:37:03.977690,-1880,2324,-14824,752,11645,6281
2025-06-19T09:37:04.206894,3772,2160,-20096,-341,-3048,-606
2025-06-19T09:37:04.589170,1988,1372,-18384,-2018,-872,-1323
2025-06-19T09:37:04.894455,1516,792,-20056,-1761,-5698,612
2025-06-19T09:37:05.204354,-1952,9948,-21536,1724,-1243,-5544
2025-06-19T09:37:05.653772,-2008,4940,-18188,612,-2314,-7536
2025-06-19T09:37:05.919754,-8012,4652,-15356,-3894,3891,-1950
2025-06-19T09:37:06.226065,-8000,2584,-17440,490,93,241
2025-06-19T09:37:06.533799,-7300,4348,-15560,171,-1592,828
2025-06-19T09:37:06.841370,-6552,4372,-16884,1966,-30,-1039
2025-06-19T09:37:07.146993,-6084,2612,-16928,540,-501,594
2025-06-19T09:37:07.554122,-7292,2524,-16292,-110,-504,540
2025-06-19T09:37:07.966422,-6852,2260,-16648,-213,-575,350
2025-06-19T09:37:08.272143,-7040,2708,-16632,-494,-313,37
2025-06-19T09:37:08.587506,-6672,2672,-16524,151,-325,37
2025-06-19T09:37:08.887321,-7208,2648,-16896,1168,5782,2209
2025-06-19T09:37:09.206194,-5688,2956,-17160,-489,626,1140
2025-06-19T09:37:09.998958,-5992,2788,-17068,182,-317,295
2025-06-19T09:37:10.818068,-6020,2000,-17308,1271,947,2585
2025-06-19T09:37:11.128924,9080,3152,-16668,-2286,3406,533
2025-06-19T09:37:11.368591,9308,5364,-15124,-3799,1962,-1725
2025-06-19T09:37:11.649369,10844,6648,-14716,-1721,1066,150
2025-06-19T09:37:11.970047,9012,6472,-13176,-2635,1349,447
2025-06-19T09:37:12.368049,11912,7080,-13188,-1757,-2761,-2244
2025-06-19T09:37:12.674708,8220,8100,-14372,-1194,-951,-1196
2025-06-19T09:37:13.043837,7436,9136,-13792,428,385,1064
2025-06-19T09:37:13.400121,11676,7404,-10488,-5231,7223,5947
2025-06-19T09:37:13.748368,13524,564,-7712,11719,820,-906
2025-06-19T09:37:14.014311,12992,-1196,-11324,-2601,2465,3926
2025-06-19T09:37:14.314802,13344,-1004,-13936,4253,-178,5590
2025-06-19T09:37:14.620635,14000,-8008,-10368,-3855,21259,9319
2025-06-19T09:37:14.929431,14292,-6120,-5836,497,-4124,-4208
2025-06-19T09:37:15.359061,15332,-6252,-5572,-973,2414,222
2025-06-19T09:37:15.746042,14120,-3056,-4880,-1029,-12003,1859
2025-06-19T09:37:16.091524,10664,-6640,-12624,2506,-14869,9719
2025-06-19T09:37:16.362061,10928,-15928,-14392,5718,32767,-9027
2025-06-19T09:37:16.674889,12556,-6192,-8968,-6489,-4793,11961
2025-06-19T09:37:17.000207,9880,-12964,-8864,737,-7741,1720
2025-06-19T09:37:17.280650,8340,-12800,-9276,-544,2727,924
2025-06-19T09:37:17.597564,8184,-11916,-11040,-1395,-2625,-1016
2025-06-19T09:37:17.891989,6352,-14072,-6944,2893,4259,-415
2025-06-19T09:37:18.123967,9628,-12492,-9772,-1054,-3129,405
2025-06-19T09:37:18.354757,7620,-12756,-9796,-1856,-4616,1436
2025-06-19T09:37:18.612888,8280,-12588,-10324,163,-1099,-460
2025-06-19T09:37:18.932283,8200,-12980,-9144,80,558,-788
2025-06-19T09:37:19.222757,7836,-12996,-9680,-34,-647,-148
2025-06-19T09:37:19.532740,8476,-12948,-9516,-659,-134,-137
2025-06-19T09:37:19.849846,8452,-13120,-9700,-299,270,44
2025-06-19T09:37:20.143641,8208,-12792,-9676,-542,124,-170
2025-06-19T09:37:20.465647,8360,-12996,-9680,-598,-273,217
2025-06-19T09:37:20.774310,8252,-13112,-9536,-367,4,-282
2025-06-19T09:37:21.282485,8408,-13040,-9520,-417,43,-150
2025-06-19T09:37:21.591009,8032,-13128,-9460,-232,-349,-270
2025-06-19T09:37:21.899117,7728,-13012,-9532,-571,-263,-47
2025-06-19T09:37:22.205134,7972,-13016,-9500,-242,-338,-302
2025-06-19T09:37:22.512340,7900,-12992,-9436,-185,-210,-89
2025-06-19T09:37:22.815770,7840,-12968,-9388,-268,61,-108
2025-06-19T09:37:23.125527,7832,-12764,-9496,3,-805,-253
2025-06-19T09:37:23.433386,8092,-13276,-9420,-208,-146,-35
2025-06-19T09:37:23.740427,7872,-12988,-9420,-242,151,-237
2025-06-19T09:37:24.047934,8184,-12920,-9504,-374,-27,-152
2025-06-19T09:37:24.354797,8004,-13268,-9684,-455,23,47
2025-06-19T09:37:24.662664,8024,-13044,-9492,-333,-209,-287
2025-06-19T09:37:25.056118,7940,-13124,-9408,-512,-131,-149
2025-06-19T09:37:25.288285,8048,-13164,-9480,-176,-218,-179
2025-06-19T09:37:25.580980,7940,-13264,-9492,-494,-232,-218
2025-06-19T09:37:25.989701,8184,-13204,-9368,-335,-295,-258
2025-06-19T09:37:26.297612,7856,-13120,-9480,-373,-489,-272
2025-06-19T09:37:26.805317,8032,-13036,-9612,-462,-296,-720
2025-06-19T09:37:27.165818,8032,-12400,-10564,-896,-1895,-2468
2025-06-19T09:37:27.656411,8148,-12416,-11100,175,-914,-191
2025-06-19T09:37:27.944594,12312,-8048,-12568,-5584,5264,-6079
2025-06-19T09:37:28.175822,13100,-3900,-9844,-7865,8903,-3939
2025-06-19T09:37:28.444331,14036,-1132,-6176,-5777,6202,-2738
2025-06-19T09:37:28.752857,18092,-808,-8156,774,-2311,-847
2025-06-19T09:37:29.059789,19072,-692,-8956,291,-5257,1204
2025-06-19T09:37:29.366193,16632,-2024,-8180,-1469,2468,769
2025-06-19T09:37:29.674255,15068,-752,-7888,-691,-2294,-1738
2025-06-19T09:37:29.974349,15828,-812,-8256,997,-4441,1173
