0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,label
1600,-16696,-3788,1008,-16680,-3056,1328,-16592,-2416,964,-16724,-2356,1220,-17144,-2632,1280,-16512,-2812,944,-16796,-2988,976,-16788,-3012,864,-16744,-3016,1124,-16748,-3280,828,-16692,-3424,1056,-16732,-3328,1008,-16960,-3944,-104,-16880,-2896,1968,-16324,-2804,3848,-15980,-4032,596,-18564,-3412,2504,-16084,-1784,908,-17212,-2816,-412,-16440,-3704,4140,-16872,-2760,3280,-15352,-144,1640,-15316,-2012,1968,-16256,-2312,3220,-16124,-1648,normal
1280,-16512,-2812,944,-16796,-2988,976,-16788,-3012,864,-16744,-3016,1124,-16748,-3280,828,-16692,-3424,1056,-16732,-3328,1008,-16960,-3944,-104,-16880,-2896,1968,-16324,-2804,3848,-15980,-4032,596,-18564,-3412,2504,-16084,-1784,908,-17212,-2816,-412,-16440,-3704,4140,-16872,-2760,3280,-15352,-144,1640,-15316,-2012,1968,-16256,-2312,3220,-16124,-1648,648,-16012,-3208,1800,-19080,-4156,504,-14532,-2500,2632,-16160,-2320,748,-18620,-3156,normal
828,-16692,-3424,1056,-16732,-3328,1008,-16960,-3944,-104,-16880,-2896,1968,-16324,-2804,3848,-15980,-4032,596,-18564,-3412,2504,-16084,-1784,908,-17212,-2816,-412,-16440,-3704,4140,-16872,-2760,3280,-15352,-144,1640,-15316,-2012,1968,-16256,-2312,3220,-16124,-1648,648,-16012,-3208,1800,-19080,-4156,504,-14532,-2500,2632,-16160,-2320,748,-18620,-3156,4408,-14968,-2432,1136,-16560,-3188,484,-17924,-3936,1764,-15540,-1948,-1228,-18048,-4160,normal
3848,-15980,-4032,596,-18564,-3412,2504,-16084,-1784,908,-17212,-2816,-412,-16440,-3704,4140,-16872,-2760,3280,-15352,-144,1640,-15316,-2012,1968,-16256,-2312,3220,-16124,-1648,648,-16012,-3208,1800,-19080,-4156,504,-14532,-2500,2632,-16160,-2320,748,-18620,-3156,4408,-14968,-2432,1136,-16560,-3188,484,-17924,-3936,1764,-15540,-1948,-1228,-18048,-4160,64,-16564,-3220,2780,-15264,-2928,1756,-16464,-1996,3156,-15880,-1804,1212,-17032,-3440,normal
4140,-16872,-2760,3280,-15352,-144,1640,-15316,-2012,1968,-16256,-2312,3220,-16124,-1648,648,-16012,-3208,1800,-19080,-4156,504,-14532,-2500,2632,-16160,-2320,748,-18620,-3156,4408,-14968,-2432,1136,-16560,-3188,484,-17924,-3936,1764,-15540,-1948,-1228,-18048,-4160,64,-16564,-3220,2780,-15264,-2928,1756,-16464,-1996,3156,-15880,-1804,1212,-17032,-3440,2676,-18016,-6676,816,-15632,-1592,-576,-17820,-3172,2356,-16968,-4868,4260,-16672,-4664,normal
648,-16012,-3208,1800,-19080,-4156,504,-14532,-2500,2632,-16160,-2320,748,-18620,-3156,4408,-14968,-2432,1136,-16560,-3188,484,-17924,-3936,1764,-15540,-1948,-1228,-18048,-4160,64,-16564,-3220,2780,-15264,-2928,1756,-16464,-1996,3156,-15880,-1804,1212,-17032,-3440,2676,-18016,-6676,816,-15632,-1592,-576,-17820,-3172,2356,-16968,-4868,4260,-16672,-4664,3384,-15724,-844,1064,-17572,-2664,-236,-16344,-6204,448,-16632,-5488,1916,-17020,-5076,normal
4408,-14968,-2432,1136,-16560,-3188,484,-17924,-3936,1764,-15540,-1948,-1228,-18048,-4160,64,-16564,-3220,2780,-15264,-2928,1756,-16464,-1996,3156,-15880,-1804,1212,-17032,-3440,2676,-18016,-6676,816,-15632,-1592,-576,-17820,-3172,2356,-16968,-4868,4260,-16672,-4664,3384,-15724,-844,1064,-17572,-2664,-236,-16344,-6204,448,-16632,-5488,1916,-17020,-5076,2352,-17624,-348,5892,-16492,-1120,2300,-17648,-4716,128,-16692,-5956,1528,-15036,-5264,normal
64,-16564,-3220,2780,-15264,-2928,1756,-16464,-1996,3156,-15880,-1804,1212,-17032,-3440,2676,-18016,-6676,816,-15632,-1592,-576,-17820,-3172,2356,-16968,-4868,4260,-16672,-4664,3384,-15724,-844,1064,-17572,-2664,-236,-16344,-6204,448,-16632,-5488,1916,-17020,-5076,2352,-17624,-348,5892,-16492,-1120,2300,-17648,-4716,128,-16692,-5956,1528,-15036,-5264,1684,-17244,-2040,196,-16832,-3460,64,-16660,-3340,1940,-17528,-2196,3008,-15936,-3920,normal
2676,-18016,-6676,816,-15632,-1592,-576,-17820,-3172,2356,-16968,-4868,4260,-16672,-4664,3384,-15724,-844,1064,-17572,-2664,-236,-16344,-6204,448,-16632,-5488,1916,-17020,-5076,2352,-17624,-348,5892,-16492,-1120,2300,-17648,-4716,128,-16692,-5956,1528,-15036,-5264,1684,-17244,-2040,196,-16832,-3460,64,-16660,-3340,1940,-17528,-2196,3008,-15936,-3920,2260,-16168,-3432,1308,-17188,-3468,3016,-14872,-1500,2096,-17296,-1984,2076,-16352,-3992,normal
3384,-15724,-844,1064,-17572,-2664,-236,-16344,-6204,448,-16632,-5488,1916,-17020,-5076,2352,-17624,-348,5892,-16492,-1120,2300,-17648,-4716,128,-16692,-5956,1528,-15036,-5264,1684,-17244,-2040,196,-16832,-3460,64,-16660,-3340,1940,-17528,-2196,3008,-15936,-3920,2260,-16168,-3432,1308,-17188,-3468,3016,-14872,-1500,2096,-17296,-1984,2076,-16352,-3992,1580,-13960,-900,2636,-14816,-3212,-1536,-19064,-1988,-1424,-19056,-2744,1536,-17064,-4512,normal
