timestamp,ax,ay,az,gx,gy,gz
2025-06-19T09:31:47.248818,484,-17924,-3936,1044,-8980,-775
2025-06-19T09:31:47.550140,1764,-15540,-1948,839,1389,737
2025-06-19T09:31:47.863377,-1228,-18048,-4160,-4183,13481,-2331
2025-06-19T09:31:48.416069,64,-16564,-3220,-2327,4035,-450
2025-06-19T09:31:48.680653,2780,-15264,-2928,3520,-8099,513
2025-06-19T09:31:48.939190,1756,-16464,-1996,4120,-313,1116
2025-06-19T09:31:49.359365,3156,-15880,-1804,-3441,4729,-745
2025-06-19T09:31:49.597834,1212,-17032,-3440,-5008,9294,297
2025-06-19T09:31:49.911160,2676,-18016,-6676,3827,-2812,3187
2025-06-19T09:31:50.233147,816,-15632,-1592,6693,-5547,217
2025-06-19T09:31:50.525121,-576,-17820,-3172,-11660,13482,-4204
2025-06-19T09:31:50.833901,2356,-16968,-4868,-7510,9851,-1506
2025-06-19T09:31:51.139183,4260,-16672,-4664,6667,571,2481
2025-06-19T09:31:51.440638,3384,-15724,-844,6301,-4139,166
2025-06-19T09:31:51.780644,1064,-17572,-2664,-6073,11612,116
2025-06-19T09:31:52.053538,-236,-16344,-6204,-8521,7206,-1760
2025-06-19T09:31:52.365047,448,-16632,-5488,-105,-1581,183
2025-06-19T09:31:52.670004,1916,-17020,-5076,9855,-3099,-264
2025-06-19T09:31:52.980400,2352,-17624,-348,2720,1665,5
2025-06-19T09:31:53.288828,5892,-16492,-1120,-4972,818,-135
2025-06-19T09:31:53.592750,2300,-17648,-4716,-10959,13144,843
2025-06-19T09:31:53.908089,128,-16692,-5956,4981,-9565,2440
2025-06-19T09:31:54.134786,1528,-15036,-5264,2036,-8965,-302
2025-06-19T09:31:54.413728,1684,-17244,-2040,-2842,-9742,-1756
2025-06-19T09:31:54.720634,196,-16832,-3460,-1947,1934,-618
2025-06-19T09:31:55.054070,64,-16660,-3340,231,1421,-1070
2025-06-19T09:31:55.333482,1940,-17528,-2196,513,1264,825
2025-06-19T09:31:55.642211,3008,-15936,-3920,-2582,10769,-441
2025-06-19T09:31:55.949336,2260,-16168,-3432,-1887,1868,-306
2025-06-19T09:31:56.256254,1308,-17188,-3468,4186,-10092,939
2025-06-19T09:31:56.484011,3016,-14872,-1500,732,-2398,1353
2025-06-19T09:31:56.822189,2096,-17296,-1984,-5337,11891,-2276
2025-06-19T09:31:57.139938,2076,-16352,-3992,2914,-1779,-2513
2025-06-19T09:31:57.394141,1580,-13960,-900,4501,-18447,-614
2025-06-19T09:31:57.690280,2636,-14816,-3212,3843,-9572,1841
2025-06-19T09:31:58.033287,-1536,-19064,-1988,1177,-456,1762
2025-06-19T09:31:58.307540,-1424,-19056,-2744,-7322,4522,-6036
2025-06-19T09:31:58.609691,1536,-17064,-4512,318,776,-2140
2025-06-19T09:31:58.953272,3848,-16824,-2292,7027,-130,380
2025-06-19T09:31:59.225695,6096,-16888,-2272,1030,-5707,666
2025-06-19T09:31:59.531952,5744,-15888,-672,274,-3898,3223
2025-06-19T09:31:59.916373,2428,-15420,-1448,-497,2331,-54
2025-06-19T09:32:00.162263,688,-16268,-1620,-415,1639,-549
2025-06-19T09:32:00.460841,2376,-16916,-2056,51,579,-1036
2025-06-19T09:32:00.762846,6380,-15708,-2500,-751,1490,652
2025-06-19T09:32:01.065855,2372,-16216,-2232,-5474,12436,3874
2025-06-19T09:32:01.372949,-2240,-13772,-5472,-923,-1361,560
2025-06-19T09:32:01.680254,-3692,-16152,-2856,8136,6205,2934
2025-06-19T09:32:01.987219,16,-16160,-128,-2172,5852,-4832
2025-06-19T09:32:02.226361,3780,-17824,-3604,-4953,11553,-555
2025-06-19T09:32:02.499464,4332,-16256,-3136,-3450,8013,-1042
2025-06-19T09:32:02.813357,3044,-16892,-2528,118,3109,2198
2025-06-19T09:32:03.071153,300,-16224,-2796,1862,395,1793
2025-06-19T09:32:03.302213,-724,-17372,-3660,1395,5524,-2513
2025-06-19T09:32:03.625945,856,-16020,-1632,-3807,14122,-1426
2025-06-19T09:32:03.933400,1000,-17620,-3352,206,20743,-1830
2025-06-19T09:32:04.242970,2464,-16684,-724,-1620,-7288,-5599
2025-06-19T09:32:04.549741,7388,-14792,-2988,4250,-3324,688
2025-06-19T09:32:04.855143,7220,-15052,-1556,-2500,-1461,2082
2025-06-19T09:32:05.177754,2328,-15568,-2384,604,1129,3317
2025-06-19T09:32:05.470608,-1176,-17560,-3208,520,-707,1164
2025-06-19T09:32:05.794158,572,-15936,-3708,-236,-2433,782
2025-06-19T09:32:06.082779,4088,-17224,-3996,-479,1462,10
2025-06-19T09:32:06.392217,3584,-16836,-3448,1464,849,-256
2025-06-19T09:32:06.702322,1124,-16696,-3160,-766,441,110
2025-06-19T09:32:06.934207,624,-16764,-3272,-726,-716,23
2025-06-19T09:32:07.210213,824,-16672,-3168,-606,-1159,-312
2025-06-19T09:32:07.597703,644,-16988,-4460,-429,-110,-105
2025-06-19T09:32:08.071693,1232,-16672,-4312,-164,479,-288
2025-06-19T09:32:08.327761,900,-16392,-3920,-567,1195,82
2025-06-19T09:32:08.617425,740,-16584,-4312,-225,378,119
2025-06-19T09:32:08.866955,780,-16792,-4116,165,1187,-60
2025-06-19T09:32:09.155698,44,-16508,-3480,-525,-145,4
2025-06-19T09:32:09.378031,712,-16612,-3976,-408,-1072,-411
2025-06-19T09:32:09.670593,492,-16624,-4012,-696,-1486,-438
2025-06-19T09:32:12.936413,1188,-17304,-4628,4,-98,-218
2025-06-19T09:32:13.296605,3224,-16096,-2564,-6039,-625,-5294
2025-06-19T09:32:14.585165,2984,-17084,-4044,4202,-8611,2811
2025-06-19T09:32:14.894128,2800,-16056,-1176,2722,-10005,-659
2025-06-19T09:32:15.200196,3528,-15504,-2192,-319,161,1246
2025-06-19T09:32:15.507623,2360,-16748,-2132,-3725,2492,-982
2025-06-19T09:32:15.814618,2524,-16896,-3372,37,-3776,476
2025-06-19T09:32:16.120966,2380,-16700,-2300,3991,-2240,2152
2025-06-19T09:32:16.835591,1704,-16120,-3728,-2992,10484,907
2025-06-19T09:32:17.427753,4392,-17144,-4056,8311,-4955,2279
2025-06-19T09:32:19.395901,1564,-15832,-4644,-8115,3587,-5516
2025-06-19T09:32:19.999790,1208,-17128,-3480,5358,-6243,1358
2025-06-19T09:32:20.330660,1808,-17216,-2464,-4291,4531,-1290
2025-06-19T09:32:20.624969,1200,-16960,-3016,-36,-91,333
2025-06-19T09:32:20.932513,1268,-17132,-2720,2356,-4064,735
2025-06-19T09:32:21.239464,1708,-16272,-2856,-1585,3111,751
2025-06-19T09:32:21.545555,548,-16928,-3052,-2267,3971,-1490
2025-06-19T09:32:21.860310,432,-17128,-2420,1774,-144,561
2025-06-19T09:32:22.262961,812,-16072,-2236,607,-1345,-3
2025-06-19T09:32:22.633534,736,-16952,-3404,-5172,4366,-945
2025-06-19T09:32:22.877792,996,-16696,-3876,2135,-1938,731
2025-06-19T09:32:23.220763,888,-16884,-3288,3902,-5048,873
2025-06-19T09:32:23.491118,752,-16468,-2612,-3825,2082,-587
2025-06-19T09:32:23.798121,828,-16936,-4276,-5493,1822,-1049
2025-06-19T09:32:24.052530,592,-16488,-4892,1701,-1150,627
2025-06-19T09:32:24.281776,-700,-16916,-3488,3179,-7120,1269
2025-06-19T09:32:24.623490,856,-16220,-3032,726,-240,-336
2025-06-19T09:32:24.928949,252,-16872,-4600,-6095,4083,-677
2025-06-19T09:32:25.255916,48,-16696,-4736,1366,491,277
2025-06-19T09:32:25.541073,-216,-16824,-3064,4128,-4154,708
2025-06-19T09:32:25.898798,1020,-16004,-2616,-961,25,-416
2025-06-19T09:32:26.377067,872,-16600,-4488,-1314,782,-645
2025-06-19T09:32:26.702509,540,-17048,-4036,4045,-5535,978
2025-06-19T09:32:27.169849,840,-16316,-3048,-441,-324,-781
2025-06-19T09:32:30.139335,11288,-13008,-7544,22,-5771,-1875
2025-06-19T09:32:30.650825,9412,-14120,-7004,-563,-853,29
2025-06-19T09:32:30.968398,8572,-14072,-6840,-577,-159,-162
2025-06-19T09:32:31.202121,8644,-13704,-7040,-513,-232,-207
2025-06-19T09:32:31.480696,8536,-13756,-6828,-522,-271,-90
2025-06-19T09:32:34.643061,8336,-14340,-6888,-150,45,-390
2025-06-19T09:32:35.155734,8624,-13956,-6492,-267,-342,-233
2025-06-19T09:32:35.472138,8568,-13844,-6708,-484,-347,-332
2025-06-19T09:32:35.781370,8812,-13860,-6660,-419,-27,-73
2025-06-19T09:32:36.086763,8280,-14072,-6836,-532,-334,-114
2025-06-19T09:32:36.395465,8676,-14192,-6780,-277,-578,-338
2025-06-19T09:32:36.703210,8816,-14048,-6800,85,-545,-284
2025-06-19T09:32:37.057881,8572,-13904,-6732,-397,-285,-195
2025-06-19T09:32:37.316566,8620,-13900,-6636,-448,-20,-108
2025-06-19T09:32:37.620607,8936,-13816,-6528,-422,78,-145
2025-06-19T09:32:37.931740,8640,-13980,-6500,-86,-364,-237
2025-06-19T09:32:38.162232,8912,-14036,-6500,-82,-527,-170
2025-06-19T09:32:38.457032,8572,-13840,-6356,-353,-226,-71
2025-06-19T09:32:38.819986,8136,-13988,-6280,-221,-2015,-397
2025-06-19T09:32:39.056785,8456,-14248,-5148,7478,-16421,1549
2025-06-19T09:32:39.364620,4952,-15916,-3088,4350,-8841,3230
2025-06-19T09:32:39.671267,-1388,-16120,-2528,4100,6201,4640
2025-06-19T09:32:39.978032,788,-16052,-244,-3330,-3932,-1317
2025-06-19T09:32:40.306911,260,-17092,-3248,-3830,-1749,-2557
2025-06-19T09:32:40.593625,1192,-16892,-3876,-1323,-71,-261
2025-06-19T09:32:40.994190,1600,-17080,-2772,4271,-1393,1024
2025-06-19T09:32:41.310539,1296,-15872,-1728,-1208,165,-154
2025-06-19T09:32:41.616644,640,-17224,-2664,-5351,6668,-1118
2025-06-19T09:32:41.923514,2276,-17508,-3840,2419,-692,2162
2025-06-19T09:32:42.333516,-216,-16944,-2744,6629,-5936,713
2025-06-19T09:32:42.640902,112,-16760,-684,-5760,9322,-3600
2025-06-19T09:32:42.957368,2348,-16936,-704,-3174,-196,-1971
2025-06-19T09:32:43.255387,3476,-16128,-2752,4285,-7790,2386
2025-06-19T09:32:43.561968,1612,-15728,-1920,4232,-6362,2779
2025-06-19T09:32:45.132373,1312,-15152,-52,-6196,3766,-3012
2025-06-19T09:32:45.642921,-348,-16464,-4852,1167,-946,2001
2025-06-19T09:32:46.936111,1676,-18016,-4716,8008,-11450,1380
2025-06-19T09:32:47.248857,2688,-16620,-2824,5849,-6033,2772
2025-06-19T09:32:47.504985,2732,-16384,-2044,-3041,1210,224
2025-06-19T09:32:47.762234,-756,-18228,-4524,-7895,4411,-2896
2025-06-19T09:32:48.067160,-392,-15332,-5252,67,-219,1307
2025-06-19T09:32:48.377170,-900,-17012,-2716,4612,-1340,1296
2025-06-19T09:32:48.684675,1292,-17388,-2216,-2340,5156,-3627
2025-06-19T09:32:48.991846,3624,-16772,-5208,-5635,5045,-3123
